sex,age,educyr98,farm,urban98,hhsize,lhhexp1,lhhex12m,lnrlfood
2,68,4,non farm,Urban,6,10.136494,11.233212,8.6393394
2,57,8,non farm,Urban,6,10.252055,8.5051203,9.3457518
1,42,14,non farm,Urban,6,10.93231,8.713418,10.226333
2,72,9,non farm,Urban,6,10.267487,9.2917356,9.2637224
2,73,1,non farm,Urban,8,10.488114,7.5553818,9.5928898
2,66,13,non farm,Urban,7,10.526596,9.7897024,9.3720341
2,73,2,non farm,Urban,9,10.229962,8.1928473,9.2769594
1,46,9,non farm,Urban,4,9.5265017,5.7838254,8.8519697
1,50,12,non farm,Urban,5,10.490311,7.5065918,9.7196102
1,45,12,non farm,Urban,4,10.020067,5.7838254,8.9384813
1,75,4,non farm,Urban,6,10.493167,8.1179085,9.2609015
1,44,10,non farm,Urban,3,8.4616146,6.8297939,6.7339935
1,51,12,non farm,Urban,4,9.5784397,7.2654295,9.0355263
2,48,17,non farm,Urban,4,10.70517,7.5755849,9.7350683
1,54,17,non farm,Urban,4,10.188036,7.4552984,9.6435566
1,43,16,non farm,Urban,3,10.739151,4.8675346,9.8702087
2,41,13,non farm,Urban,4,9.6700191,6.5161929,9.076807
2,70,2,non farm,Urban,2,10.051011,6.3885612,9.0695715
1,67,9,non farm,Urban,2,9.1506929,6.3716121,8.4473467
1,62,9,non farm,Urban,7,10.019666,6.3261495,9.164073
1,74,4,non farm,Urban,5,9.7672644,8.2852612,8.7167873
1,70,10,non farm,Urban,2,9.9372807,4.7621741,9.3954525
1,61,9,non farm,Urban,6,9.8009081,5.6094718,8.9082699
1,75,5,non farm,Urban,3,8.9250984,7.1701198,8.2275906
2,81,1,non farm,Urban,2,9.6122055,6.856462,9.0282555
1,53,12,non farm,Urban,9,9.8630171,6.6592941,9.3106785
1,60,2,non farm,Urban,3,8.5139256,5.2729998,8.0670757
1,74,7,non farm,Urban,5,9.4163036,6.5539336,8.6319275
1,42,13,non farm,Urban,8,10.280608,7.5852809,9.1486874
2,70,0,non farm,Urban,5,10.051025,7.8276396,9.1475716
2,51,9,non farm,Urban,5,11.019564,7.3932629,10.235497
