persnum,age,educatn,earnings,hours,sex,married,hwage,lnhwage
3,36,14,24000,1701,2,1,14.109347,2.6468375
3,36,12,22883,1523,2,1,15.024951,2.7097123
5,36,17,8100,474,2,1,17.088608,2.838412
170,36,16,26331,1800,2,1,14.628333,2.6829603
5,36,16,25000,2172,2,1,11.510129,2.4432275
171,36,13,11637,2170,2,1,5.3626728,1.6794626
5,36,13,35000,2681,2,1,13.054831,2.5691583
6,36,12,6000,1500,2,1,4,1.3862944
3,36,10,15330,1876,2,1,8.1716413,2.1006699
171,36,12,15800,1960,2,1,8.0612249,2.0870655
170,36,16,28000,1600,2,1,17.5,2.862201
5,36,12,16560,2080,2,1,7.9615383,2.0746222
175,36,16,65000,1307,2,1,49.732212,3.9066529
4,36,16,5000,537,2,1,9.3109865,2.231195
177,36,14,47000,1560,2,1,30.128204,3.4054618
177,36,12,8159,735,2,1,11.10068,2.4070065
4,36,12,22000,2214,2,1,9.9367657,2.2962415
173,36,14,12000,1525,2,1,7.8688526,2.0629122
170,36,16,1185,156,2,1,7.5961537,2.027642
176,36,17,60000,2160,2,1,27.777779,3.3242364
9,36,11,3000,800,2,0,3.75,1.3217559
170,36,12,7800,1232,2,1,6.3311687,1.8454849
3,36,14,700,177,2,1,3.9548023,1.3749306
5,36,14,14000,2056,2,0,6.8093386,1.918295
3,36,17,25000,1400,2,0,17.857143,2.8824036
3,36,15,36000,2196,2,1,16.393442,2.7968814
4,36,12,32000,2025,2,1,15.802469,2.7601662
3,36,15,2103,448,2,1,4.6941962,1.5463269
170,36,12,17316,1560,2,1,11.1,2.4069452
4,36,12,3800,1250,2,1,3.04,1.1118575
3,36,16,1500,350,2,1,4.2857141,1.4552872
170,36,13,25500,1927,2,1,13.233005,2.5827141
3,36,12,24000,1960,2,0,12.244898,2.5051093
170,36,13,3000,500,2,1,6,1.7917595
171,36,12,3000,339,2,1,8.8495579,2.1803675
5,36,12,24200,1880,2,1,12.87234,2.5550809
8,36,16,2800,331,2,1,8.4592142,2.1352563
4,36,16,14525,1815,2,0,8.0027552,2.0797858
7,36,15,48000,1960,2,0,24.489796,3.1982565
4,36,12,17000,1952,2,1,8.7090168,2.1643589
5,36,16,33000,1412,2,1,23.371105,3.1515005
178,36,12,1200,1530,2,0,.78431374,-.24294616
188,36,12,10000,2236,2,1,4.4722719,1.4978966
170,36,14,18000,1444,2,1,12.465374,2.5229547
175,36,15,7400,1240,2,1,5.967742,1.7863686
