client,mode,price,crate,dbeach,dpier,dprivate,dcharter,pbeach,ppier,pprivate,pcharter,qbeach,qpier,qprivate,qcharter,income
1,4,182.92999,.53909999,0,0,0,1,157.92999,157.92999,157.92999,182.92999,.0678,.050299998,.26010001,.53909999,7083.3315
2,4,34.534,.46709999,0,0,0,1,15.114,15.114,10.534,34.534,.1049,.0451,.1574,.46709999,1249.9998
3,3,24.334,.2413,0,0,1,0,161.87399,161.87399,24.334,59.334,.53329998,.4522,.2413,1.0266,3750
4,2,15.134,.078900002,0,1,0,0,15.134,15.134,55.93,84.93,.0678,.078900002,.16429999,.53909999,2083.3333
5,3,41.514,.1082,0,0,1,0,106.93,106.93,41.514,71.014,.0678,.050299998,.1082,.324,4583.332
6,4,63.933998,.39750001,0,0,0,1,192.474,192.474,28.934,63.933998,.53329998,.4522,.1665,.39750001,4583.332
7,1,51.933998,.0678,1,0,0,0,51.933998,51.933998,191.92999,220.92999,.0678,.078900002,.16429999,.53909999,8750.001
8,4,56.714001,.0209,0,0,0,1,15.134,15.134,21.714001,56.714001,.0678,.078900002,.0102,.0209,2083.3333
9,3,34.914001,.0233,0,0,1,0,34.914001,34.914001,34.914001,53.414001,.25369999,.1498,.0233,.0219,3750
10,3,28.313999,.0233,0,0,1,0,28.313999,28.313999,28.313999,46.813999,.25369999,.1498,.0233,.0219,2916.6665
11,2,34.914001,.0451,0,1,0,0,34.914001,34.914001,24.334,48.334,.1049,.0451,.1574,.46709999,3750
12,3,16.722,.2413,0,0,1,0,312.14401,312.14401,16.722,51.722,.53329998,.4522,.2413,1.0266,7083.3315
13,2,17.862,.0451,0,1,0,0,17.862,17.862,4.1220002,28.122,.1049,.0451,.0023000001,.0046000001,1249.9998
14,2,15.134,.078900002,0,1,0,0,15.134,15.134,55.93,84.93,.0678,.078900002,.0014,.0029,2083.3333
15,1,74.514,.25369999,1,0,0,0,74.514,74.514,74.514,93.014,.25369999,.1498,.2339,.62879997,8750.001
16,2,33.534,.078900002,0,1,0,0,33.534,33.534,123.93,152.92999,.0678,.078900002,.16429999,.53909999,5416.6665
17,1,48.113998,.1049,1,0,0,0,48.113998,48.113998,33.534,57.534,.1049,.0451,.1574,.46709999,5416.6665
18,2,33.462002,.0078999996,0,1,0,0,33.462002,33.462002,7.7220001,31.722,.1049,.0078999996,.061299998,.3087,2916.6665
19,3,11.322,.0361,0,0,1,0,211.34399,211.34399,11.322,46.321999,.53329998,.0068999999,.0361,.42160001,4583.332
20,3,11.322,.1574,0,0,1,0,49.062,49.062,11.322,35.321999,.1049,.0451,.1574,.46709999,4583.332
21,4,53.521999,.0057999999,0,0,0,1,345.74399,345.74399,18.521999,53.521999,.53329998,.4522,.0156,.0057999999,7916.6665
22,4,44.321999,.0046000001,0,0,0,1,88.061996,88.061996,20.322001,44.321999,.1049,.0451,.0023000001,.0046000001,8750.001
23,3,15.134,.1665,0,0,1,0,100.674,100.674,15.134,50.133999,.53329998,.4522,.1665,.39750001,2083.3333
24,4,43.734001,.3087,0,0,0,1,28.313999,28.313999,19.733999,43.734001,.1049,.0078999996,.061299998,.3087,2916.6665
25,4,69.32,.64560002,0,0,0,1,33.462002,33.462002,34.32,69.32,.0678,.078900002,.0559,.64560002,2916.6665
26,1,67.783997,.53329998,1,0,0,0,67.783997,67.783997,17.862,52.862,.53329998,.4522,.2413,1.0266,1249.9998
27,2,50.32,.0451,0,1,0,0,50.32,50.32,49.062,73.061996,.1049,.0451,.1574,.46709999,4583.332
28,3,74.32,.089699998,0,0,1,0,72.461998,72.461998,74.32,109.32,.0678,.078900002,.089699998,1.0905,7083.3315
29,4,45.534,.0057999999,0,0,0,1,70.073997,70.073997,10.534,45.534,.53329998,.4522,.0156,.0057999999,1249.9998
30,4,54.734001,.0057999999,0,0,0,1,131.274,131.274,19.733999,54.734001,.53329998,.4522,.0156,.0057999999,2916.6665
31,4,43.734001,.0046000001,0,0,0,1,28.313999,28.313999,19.733999,43.734001,.1049,.0451,.0023000001,.0046000001,2916.6665
32,4,35.321999,.3087,0,0,0,1,49.062,49.062,11.322,35.321999,.1049,.0078999996,.061299998,.3087,4583.332
33,3,7.7220001,.0023000001,0,0,1,0,33.462002,33.462002,7.7220001,31.722,.1049,.0451,.0023000001,.0046000001,2916.6665
34,1,9.5220003,.0678,1,0,0,0,9.5220003,9.5220003,78.292,107.292,.0678,.078900002,.0014,.0029,3750
35,2,25.662001,.0078999996,0,1,0,0,25.662001,25.662001,5.9219999,29.922001,.1049,.0078999996,.061299998,.3087,2083.3333
36,4,42.722,.42160001,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.0068999999,.0361,.42160001,2916.6665
37,2,120.004,.078900002,0,1,0,0,120.004,120.004,252.64,281.64001,.0678,.078900002,.0014,.0029,12499.998
38,3,80.608002,.053100001,0,0,1,0,25.648001,25.648001,80.608002,105.608,.25369999,.1498,.053100001,.0052,1249.9998
39,4,60.004002,.0057999999,0,0,0,1,115.808,115.808,25.004,60.004002,.53329998,.4522,.0156,.0057999999,2083.3333
40,2,32.604,.078900002,0,1,0,0,32.604,32.604,68.639999,97.639999,.0678,.078900002,.16429999,.53909999,2916.6665
41,3,46.332001,.16429999,0,0,1,0,10.296,10.296,46.332001,75.332001,.0678,.078900002,.16429999,.53909999,2916.6665
42,4,89.912003,1.0905,0,0,0,1,10.296,10.296,54.911999,89.912003,.0678,.078900002,.089699998,1.0905,2916.6665
43,3,15.096,.2413,0,0,1,0,231.472,231.472,15.096,50.096001,.53329998,.4522,.2413,1.0266,4583.332
44,4,211.20799,2.3101001,0,0,0,1,59.248001,59.248001,186.20799,211.20799,.25369999,.1498,.73689997,2.3101001,3750
45,4,50.096001,1.0266,0,0,0,1,231.472,231.472,15.096,50.096001,.53329998,.4522,.2413,1.0266,4583.332
46,2,19.896,.078900002,0,1,0,0,19.896,19.896,89.531998,118.532,.0678,.078900002,.0014,.0029,6250.0015
47,4,57.296001,1.0266,0,0,0,1,341.87201,341.87201,22.296,57.296001,.53329998,.4522,.2413,1.0266,7083.3315
48,4,52.403999,1.0266,0,0,0,1,80.608002,80.608002,17.403999,52.403999,.53329998,.4522,.2413,1.0266,1249.9998
49,1,24.334,.0678,1,0,0,0,24.334,24.334,89.93,118.93,.0678,.078900002,.16429999,.53909999,3750
50,1,11.322,.0678,1,0,0,0,11.322,11.322,93.092003,122.092,.0678,.078900002,.16429999,.53909999,4583.332
51,4,44.521999,.0057999999,0,0,0,1,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.0156,.0057999999,3750
52,2,5.9219999,.078900002,0,1,0,0,5.9219999,5.9219999,48.692001,77.692001,.0678,.078900002,.16429999,.53909999,2083.3333
53,3,9.5220003,.2413,0,0,1,0,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.2413,1.0266,3750
54,3,10.534,.0361,0,0,1,0,70.073997,70.073997,10.534,45.534,.53329998,.0068999999,.0361,.42160001,1249.9998
55,4,52.933998,.3087,0,0,0,1,41.514,41.514,28.934,52.933998,.1049,.0078999996,.061299998,.3087,4583.332
56,4,39.133999,.0046000001,0,0,0,1,21.714001,21.714001,15.134,39.133999,.1049,.0451,.0023000001,.0046000001,2083.3333
57,4,42.722,.0057999999,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.4522,.0156,.0057999999,2916.6665
58,3,5.9219999,.061299998,0,0,1,0,25.662001,25.662001,5.9219999,29.922001,.1049,.0078999996,.061299998,.3087,2083.3333
59,3,13.122,.0156,0,0,1,0,244.944,244.944,13.122,48.122002,.53329998,.4522,.0156,.0057999999,5416.6665
60,4,42.722,1.0266,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.4522,.2413,1.0266,2916.6665
61,2,5.9219999,.078900002,0,1,0,0,5.9219999,5.9219999,48.692001,77.692001,.0678,.078900002,.0014,.0029,2083.3333
62,2,93.092003,.050299998,0,1,0,0,93.092003,93.092003,93.092003,118.092,.0678,.050299998,.26010001,.53909999,4583.332
63,4,44.521999,.42160001,0,0,0,1,177.744,177.744,9.5220003,44.521999,.53329998,.0068999999,.0361,.42160001,3750
64,3,9.5220003,.1574,0,0,1,0,41.262001,41.262001,9.5220003,33.521999,.1049,.0451,.1574,.46709999,3750
65,2,9.5220003,.078900002,0,1,0,0,9.5220003,9.5220003,78.292,107.292,.0678,.078900002,.16429999,.53909999,3750
66,4,39.122002,1.0266,0,0,0,1,76.944,76.944,4.1220002,39.122002,.53329998,.4522,.2413,1.0266,1249.9998
67,3,9.5220003,.2413,0,0,1,0,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.2413,1.0266,3750
68,4,44.521999,.39750001,0,0,0,1,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.1665,.39750001,3750
69,3,13.122,.2413,0,0,1,0,244.944,244.944,13.122,48.122002,.53329998,.4522,.2413,1.0266,5416.6665
70,2,33.462002,.0451,0,1,0,0,33.462002,33.462002,7.7220001,31.722,.1049,.0451,.1574,.46709999,2916.6665
71,3,7.7220001,.0023000001,0,0,1,0,33.462002,33.462002,7.7220001,31.722,.1049,.0451,.0023000001,.0046000001,2916.6665
72,4,60.661999,.0209,0,0,0,1,5.9219999,5.9219999,25.662001,60.661999,.0678,.078900002,.0102,.0209,2083.3333
73,4,53.521999,.39750001,0,0,0,1,345.74399,345.74399,18.521999,53.521999,.53329998,.4522,.1665,.39750001,7916.6665
74,3,13.122,.0361,0,0,1,0,244.944,244.944,13.122,48.122002,.53329998,.0068999999,.0361,.42160001,5416.6665
75,3,14.922,.0023000001,0,0,1,0,64.662003,64.662003,14.922,38.922001,.1049,.0451,.0023000001,.0046000001,6250.0015
76,1,9.5220003,.0678,1,0,0,0,9.5220003,9.5220003,78.292,107.292,.0678,.078900002,.16429999,.53909999,3750
77,1,24.695999,.0678,1,0,0,0,24.695999,24.695999,111.132,140.132,.0678,.078900002,.16429999,.53909999,7916.6665
78,3,33.891998,.26010001,0,0,1,0,33.891998,33.891998,33.891998,58.891998,.0678,.050299998,.26010001,.53909999,1249.9998
79,4,42.722,.42160001,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.0068999999,.0361,.42160001,2916.6665
80,3,5.9219999,.2413,0,0,1,0,110.544,110.544,5.9219999,40.922001,.53329998,.4522,.2413,1.0266,2083.3333
81,4,39.122002,.0057999999,0,0,0,1,76.944,76.944,4.1220002,39.122002,.53329998,.4522,.0156,.0057999999,1249.9998
82,1,7.7220001,.0678,1,0,0,0,7.7220001,7.7220001,63.492001,92.491997,.0678,.078900002,.0014,.0029,2916.6665
83,3,9.5220003,.1665,0,0,1,0,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.1665,.39750001,3750
84,3,4.1220002,.1574,0,0,1,0,17.862,17.862,4.1220002,28.122,.1049,.0451,.1574,.46709999,1249.9998
85,4,51.962002,.2773,0,0,0,1,33.462002,33.462002,33.462002,51.962002,.25369999,.0014,.062600002,.2773,2916.6665
86,3,39.473999,.68169999,0,0,1,0,8.5139999,8.5139999,39.473999,64.473999,.25369999,.1498,.68169999,2.3013999,416.66669
87,4,89.713997,.64560002,0,0,0,1,38.133999,38.133999,54.714001,89.713997,.0678,.078900002,.0559,.64560002,6250.0015
88,3,34.914001,.089699998,0,0,1,0,24.334,24.334,34.914001,69.914001,.0678,.078900002,.089699998,1.0905,3750
89,2,100.674,.4522,0,1,0,0,100.674,100.674,15.134,50.133999,.53329998,.4522,.2413,1.0266,2083.3333
90,2,104.214,.1498,0,1,0,0,104.214,104.214,104.214,122.714,.25369999,.1498,.2339,.62879997,12499.998
91,4,59.334,.0057999999,0,0,0,1,161.87399,161.87399,24.334,59.334,.53329998,.4522,.0156,.0057999999,3750
92,4,57.534,.46709999,0,0,0,1,48.113998,48.113998,33.534,57.534,.1049,.0451,.1574,.46709999,5416.6665
93,3,66.32,.0102,0,0,1,0,64.662003,64.662003,66.32,101.32,.0678,.078900002,.0102,.0209,6250.0015
94,4,109.32,.0209,0,0,0,1,72.461998,72.461998,74.32,109.32,.0678,.078900002,.0102,.0209,7083.3315
95,3,111.462,.0051000002,0,0,1,0,422.98401,422.98401,111.462,146.46201,.53329998,.4522,.0051000002,1.0266,11250.001
96,4,93.32,.0209,0,0,0,1,56.862,56.862,58.32,93.32,.0678,.078900002,.0102,.0209,5416.6665
97,3,74.32,.089699998,0,0,1,0,72.461998,72.461998,74.32,109.32,.0678,.078900002,.089699998,1.0905,7083.3315
98,4,79.239998,.1726,0,0,0,1,210.56599,210.56599,49.740002,79.239998,.0678,.0052,.073200002,.1726,6250.0015
99,2,43.740002,.1498,0,1,0,0,43.740002,43.740002,52.487999,70.987999,.25369999,.1498,.2339,.62879997,5416.6665
100,1,31.74,.25369999,1,0,0,0,31.74,31.74,38.088001,56.588001,.25369999,.1498,.2339,.62879997,3750
101,1,19.74,.25369999,1,0,0,0,19.74,19.74,23.688,42.188,.25369999,.1498,.2339,.62879997,2083.3333
102,2,31.74,.1498,0,1,0,0,31.74,31.74,38.088001,56.588001,.25369999,.1498,.2339,.62879997,3750
103,4,60.740002,.2377,0,0,0,1,55.77,55.77,25.74,60.740002,.0678,.0024999999,.0108,.2377,2916.6665
