id,momage,anti90,anti92,anti94,gender,childage,hispanic,black,momwork,married,self90,self92,self94,pov90,pov92,pov94
1,21,1,1,1,1,8,0,0,0,0,21,24,23,1,1,1
2,22,0,0,0,1,8.416667,0,0,1,0,20,24,24,0,0,0
3,18,5,5,5,0,8.083333,0,0,0,1,21,24,24,0,0,0
4,24,2,3,1,0,8.25,0,0,0,0,23,21,21,0,0,0
5,22,1,0,0,1,9.333333,0,0,0,0,22,23,24,0,0,0
6,24,1,1,1,0,8.583333,0,0,0,0,19,21,24,0,0,0
7,23,3,3,4,1,9.25,0,0,1,1,24,16,13,0,0,0
8,18,4,1,1,0,8.5,0,0,0,1,19,22,16,0,0,0
9,24,1,1,0,0,8.083333,0,0,0,0,21,24,20,0,0,0
10,20,4,5,6,0,9.166667,0,0,0,1,9,11,24,0,0,0
11,23,3,3,3,1,8.833333,0,0,1,1,20,23,18,1,0,0
12,20,3,2,3,1,9.166667,1,0,0,1,15,18,20,0,0,0
13,19,3,2,4,0,8.583333,0,0,1,0,23,22,21,1,1,1
14,22,1,3,1,0,8.75,0,0,1,0,21,10,17,0,0,0
15,23,3,4,5,1,9.833333,0,1,0,0,21,19,21,0,0,0
16,20,2,1,2,1,9,0,1,0,0,16,19,15,1,1,1
17,19,1,2,1,0,8.666667,0,1,1,0,18,15,14,1,1,1
18,22,0,2,0,0,9.333333,0,0,1,0,20,17,22,0,0,0
19,18,3,0,3,1,8.166667,0,1,0,0,19,23,18,1,0,1
20,20,5,6,4,0,8.416667,0,0,1,0,13,6,21,0,0,0
21,23,4,4,3,0,9.333333,0,0,0,0,23,24,24,0,0,0
22,24,1,2,3,0,8.583333,0,0,0,1,21,23,24,1,0,0
23,24,0,1,0,1,8,0,0,1,0,20,21,20,0,0,0
24,23,2,3,4,0,9.5,0,0,0,0,24,24,23,0,0,0
25,22,0,0,0,1,9.5,0,0,1,0,23,14,20,0,0,0
26,22,5,3,5,1,8.75,0,0,0,0,18,10,15,0,0,0
27,17,2,1,2,0,9.166667,0,0,1,0,22,24,20,0,0,0
28,21,2,2,3,1,10,0,0,0,0,22,21,16,0,0,0
29,24,1,3,2,0,8.25,1,0,1,0,18,23,24,0,0,0
30,20,0,0,0,1,9.75,0,0,1,0,20,14,23,0,0,0
31,25,1,1,0,1,8,0,0,1,0,21,19,22,0,0,0
32,19,4,4,6,1,8.916667,0,0,0,1,24,24,23,1,0,0
33,18,2,2,1,0,9.75,0,0,0,1,21,20,19,0,0,0
34,19,3,4,3,0,9.833333,0,0,0,0,22,22,17,0,0,0
35,21,3,3,5,1,8.416667,0,0,0,0,19,21,23,0,0,0
36,19,0,0,0,1,9.25,1,0,0,0,20,19,24,0,0,0
37,22,0,0,0,1,8.166667,0,1,0,1,19,21,20,1,1,1
38,19,4,4,5,0,9.75,0,0,1,1,21,22,22,1,1,1
39,22,2,0,0,1,8.666667,0,0,0,0,21,18,21,0,0,0
40,21,0,0,0,1,9,0,0,1,1,20,24,24,1,1,1
41,18,1,2,4,1,9.416667,0,0,1,0,24,20,9,0,0,0
42,19,1,0,0,1,8.583333,0,0,0,1,22,21,24,1,0,1
43,22,2,0,1,0,9.333333,0,0,0,0,24,23,24,0,0,0
44,25,0,0,0,1,8.666667,0,0,1,0,24,24,22,0,0,0
45,22,0,1,1,0,9.25,0,0,0,0,19,21,21,0,0,0
46,24,1,0,0,0,8.5,0,0,1,0,24,20,24,0,0,0
47,23,1,4,5,1,8.5,0,1,1,0,24,19,21,1,1,0
48,22,3,4,4,1,9.916667,0,0,1,0,19,16,18,0,0,0
49,24,3,1,3,0,8.166667,0,0,0,1,24,24,22,1,1,1
50,22,1,1,0,0,9.083333,0,1,0,1,24,24,24,0,0,0
51,23,0,0,0,1,8.083333,0,1,0,1,21,16,24,0,0,0
52,19,1,0,1,0,10,0,1,0,0,17,12,23,0,0,0
53,16,2,2,0,1,9.666667,0,0,1,1,24,23,24,1,0,1
54,23,0,0,1,0,8.833333,0,1,1,0,21,23,17,1,0,1
55,20,5,3,5,0,8.916667,0,1,0,0,20,22,24,1,1,1
56,17,0,1,0,1,8.583333,0,1,0,0,19,20,24,0,0,0
57,21,2,1,2,1,8.916667,0,1,0,0,16,24,24,1,0,0
58,21,5,3,1,0,9.166667,0,1,0,0,15,19,20,0,0,0
59,24,3,3,4,0,8.25,0,0,0,0,20,24,13,0,0,0
60,24,0,1,1,1,8.083333,0,0,1,0,17,16,17,1,1,0
61,23,2,3,0,1,8.833333,0,0,1,0,13,19,24,0,1,1
62,18,3,2,1,1,8.083333,0,0,0,1,20,17,23,1,1,1
63,18,0,3,3,0,8.916667,0,0,0,0,22,19,22,0,0,0
64,23,1,1,0,1,9.666667,0,1,1,0,22,21,20,1,1,0
65,20,2,2,1,1,8.666667,0,1,0,0,24,22,24,1,0,1
66,22,1,1,0,1,9.75,0,0,1,0,24,17,24,0,0,0
67,23,1,1,1,1,8.583333,0,0,1,0,19,17,19,0,0,0
68,21,0,0,0,1,8.75,0,0,0,0,24,19,22,0,0,0
69,19,4,0,3,0,8.416667,0,0,0,0,19,21,21,0,0,0
70,20,2,2,2,1,9.416667,1,0,0,1,20,20,19,1,1,1
71,19,0,0,0,0,9.416667,0,0,1,1,24,14,20,1,0,0
72,19,0,2,2,1,9.916667,1,0,0,0,17,16,16,0,1,0
73,23,2,0,5,1,8.833333,0,0,0,0,22,21,23,0,0,1
74,18,0,0,0,1,8.75,1,0,0,0,24,19,19,0,1,0
75,16,0,3,3,0,9.916667,0,1,1,0,21,19,23,0,1,0
76,17,0,1,0,0,9.083333,0,0,1,0,21,22,21,0,0,0
77,20,1,2,3,1,9.916667,0,0,0,0,23,24,24,0,0,0
78,23,0,0,1,1,8.833333,0,0,0,0,22,21,21,0,0,0
79,20,2,4,1,0,8.916667,0,1,0,1,18,24,24,0,1,0
