narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60,pcnvsq,pt86sq,inc86sq,arr86
0,0,0,.38,17.6,35.200001,12,0,0,0,0,0,1,.1444,144,0,0
2,2,0,.44,0,0,0,1,.80000001,0,0,1,0,.1936,0,.64000005,1
1,1,0,.33000001,22.799999,22.799999,0,0,0,11,1,0,1,.10890001,0,0,1
2,2,1,.25,0,0,5,2,8.8000002,0,0,1,1,.0625,25,77.440002,1
1,1,0,0,0,0,0,2,8.1000004,1,0,0,0,0,0,65.610008,1
0,0,0,1,0,0,0,4,97.599998,0,0,0,1,1,0,9525.7598,0
2,2,1,.44,0,0,0,0,0,1,1,0,1,.1936,0,0,1
5,3,5,.75,0,0,0,0,0,3,0,0,1,.5625,0,0,1
0,0,0,.33000001,10.9,21.799999,9,0,0,19.299999,1,0,1,.10890001,81,0,0
0,0,0,.23,0,0,0,3,16.700001,0,0,1,1,.052900001,0,278.89001,0
1,1,0,0,0,0,0,4,162.5,0,0,0,1,0,0,26406.25,1
0,0,0,.17,31.700001,63.400002,12,0,0,0,0,1,0,.028900001,144,0,0
0,0,0,.33000001,0,0,0,4,32.900002,0,0,0,1,.10890001,0,1082.4102,0
0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0
1,1,0,0,0,0,0,4,174.5,0,0,0,1,0,0,30450.25,1
0,0,0,.2,59.200001,59.200001,3,1.7,14.3,4.3000002,1,0,1,.040000003,9,204.49001,0
1,1,0,.38,0,0,0,0,0,18,1,0,1,.1444,0,0,1
0,0,0,.5,0,0,0,4,154,0,0,0,1,.25,0,23716,0
0,0,0,.60000002,7.9000001,23.700001,0,0,0,11,1,0,0,.36000001,0,0,0
0,0,0,.5,0,0,0,4,100.3,0,0,0,0,.25,0,10060.091,0
3,2,0,.47,5.5999999,22.4,0,0,0,4.8000002,0,1,1,.2209,0,0,1
1,0,0,.17,4,4,0,2,16.200001,0,1,0,1,.028900001,0,262.44003,1
0,0,0,.22,6.9000001,20.700001,0,4,144.10001,0,0,1,1,.0484,0,20764.813,0
0,0,0,.47,31.9,31.9,12,0,0,0,1,0,1,.2209,144,0,0
0,0,0,.36000001,18.700001,37.400002,0,0,0,5,0,0,1,.1296,0,0,0
0,0,0,.40000001,0,0,2,0,0,19,1,0,0,.16000001,4,0,0
0,0,0,.33000001,0,0,0,2,17.1,0,0,0,1,.10890001,0,292.41,0
0,0,0,.5,0,0,0,0,0,15,0,1,1,.25,0,0,0
0,0,0,.33000001,6.3000002,25.200001,12,0,0,0,0,0,0,.10890001,144,0,0
0,0,0,.2,0,0,0,3,54.099998,0,0,0,1,.040000003,0,2926.8098,0
2,0,0,0,0,0,0,1,11.2,1,0,0,0,0,0,125.43999,1
0,0,0,1,0,0,0,0,0,7,0,0,1,1,0,0,0
1,0,0,.40000001,0,0,5,0,0,15,0,0,1,.16000001,25,0,1
0,0,0,.33000001,36.099998,36.099998,0,4,7.5999999,0,0,1,0,.10890001,0,57.759998,0
2,1,0,.67000002,0,0,0,1,.5,0,0,1,1,.44890001,0,.25,1
0,0,0,1,0,0,0,3,16.799999,1,0,0,1,1,0,282.23996,0
0,0,0,.33000001,0,0,12,0,0,0,0,0,0,.10890001,144,0,0
0,0,0,0,0,0,0,4,63,0,0,1,1,0,0,3969,0
2,2,2,0,0,0,1,2,52.599998,0,0,0,0,0,1,2766.7598,1
1,1,1,.43000001,0,0,0,1,15.9,1,0,1,1,.1849,0,252.80998,1
0,0,0,.5,0,0,0,0,0,6,0,0,1,.25,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,.38999999,11.3,11.3,0,3,29.700001,0,0,1,0,.15209998,0,882.09003,1
0,0,0,.5,0,0,0,0,0,1,1,0,1,.25,0,0,0
3,2,2,.44,0,0,0,1,3.8,0,0,1,1,.1936,0,14.44,1
0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0
