id,choice2011,wage2011,educ2011,expwc2011,expbc2011,expser2011,manuf2011,black2011,enroll2011,employ2011,exper2011,status2011,choice2012,wage2012,educ2012,expwc2012,expbc2012,expser2012,manuf2012,black2012,enroll2012,employ2012,exper2012,status2012,choice2013,wage2013,educ2013,expwc2013,expbc2013,expser2013,manuf2013,black2013,enroll2013,employ2013,exper2013,status2013,choice2014,wage2014,educ2014,expwc2014,expbc2014,expser2014,manuf2014,black2014,enroll2014,employ2014,exper2014,status2014,choice2015,wage2015,educ2015,expwc2015,expbc2015,expser2015,manuf2015,black2015,enroll2015,employ2015,exper2015,status2015,choice2016,wage2016,educ2016,expwc2016,expbc2016,expser2016,manuf2016,black2016,enroll2016,employ2016,exper2016,status2016,choice2017,wage2017,educ2017,expwc2017,expbc2017,expser2017,manuf2017,black2017,enroll2017,employ2017,exper2017,status2017
4,2,,9,0,0,0,0,1,0,0,0,2,2,,9,0,0,0,0,1,0,0,0,2,2,,9,0,0,0,0,1,0,0,0,2,2,,9,0,0,0,0,1,0,0,0,2,2,,9,0,0,0,0,1,0,0,0,2,2,,9,0,0,0,0,1,0,0,0,2,5,6093.6001,9,0,0,0,0,1,0,1,0,3
5,3,9268.5195,9,0,1,0,0,1,0,1,1,3,5,9383.3096,9,1,1,0,0,1,0,1,2,3,5,9580.3799,9,1,1,1,0,1,0,1,3,3,3,,9,1,1,2,0,1,0,1,4,3,5,9682.0801,9,2,1,2,0,1,0,1,5,3,5,16061.47,9,2,1,3,0,1,0,1,6,3,3,11017.23,9,2,1,4,0,1,0,1,7,3
8,4,15526.21,12,0,0,0,1,1,0,1,0,3,4,16442.461,12,0,1,0,1,1,0,1,1,3,4,17075.99,12,0,2,0,1,1,0,1,2,3,5,25164.25,12,0,3,0,0,1,0,1,3,3,5,26341.471,12,0,3,1,0,1,0,1,4,3,5,28164.17,12,0,3,2,0,1,0,1,5,3,5,32800.141,12,0,3,3,0,1,0,1,6,3
9,1,,11,0,0,0,0,1,1,0,0,1,2,,12,0,0,0,0,1,0,0,0,2,4,1230.77,12,0,0,0,0,1,0,1,0,3,4,1160.6899,12,0,1,0,0,1,0,1,1,3,5,8277.8604,12,0,2,0,0,1,0,1,2,3,5,7590.2002,12,0,2,1,0,1,0,1,3,3,2,,12,0,2,2,0,1,0,0,4,2
11,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,5,10336.85,11,0,0,0,0,1,0,1,0,3,5,13301.6,11,0,0,1,0,1,0,1,1,3,5,16648.189,11,0,0,2,0,1,0,1,2,3,5,11744.41,11,0,0,3,0,1,0,1,3,3,5,8287.29,11,0,0,4,0,1,0,1,4,3
18,1,,12,0,0,0,0,1,1,0,0,1,3,16117.19,13,0,0,0,1,1,0,1,0,3,3,15738.59,13,1,0,0,1,1,0,1,1,3,2,,13,2,0,0,0,1,0,0,2,2,1,,13,2,0,0,0,1,1,0,2,1,1,,14,2,0,0,0,1,1,0,2,1,1,,15,2,0,0,0,1,1,0,2,1
19,4,12887.83,11,0,0,0,0,1,0,1,0,3,2,,11,0,1,0,0,1,0,0,1,2,4,14013.28,11,0,1,0,1,1,0,1,1,3,4,15658.72,11,0,2,0,1,1,0,1,2,3,4,15238.09,11,0,3,0,1,1,0,1,3,3,2,,11,0,4,0,0,1,0,0,4,2,4,14234.65,11,0,4,0,1,1,0,1,4,3
25,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,2,,11,0,0,0,0,1,0,0,0,2,4,14130.27,11,0,0,0,0,1,0,1,0,3
27,4,19056.48,12,0,2,0,1,1,0,1,2,3,4,18595.4,12,0,3,0,1,1,0,1,3,3,2,,12,0,4,0,0,1,0,0,4,2,4,,12,0,4,0,0,1,0,1,4,3,2,,12,0,5,0,0,1,0,0,5,2,2,,12,0,5,0,0,1,0,0,5,2,4,16895.41,12,0,5,0,0,1,0,1,5,3
28,5,7995.23,12,0,0,0,0,1,0,1,0,3,5,7870.5298,12,0,0,1,0,1,0,1,1,3,3,15730.02,12,0,0,2,0,1,0,1,2,3,3,15527.02,12,1,0,2,0,1,0,1,3,3,3,7799.5698,12,2,0,2,0,1,0,1,4,3,2,,12,3,0,2,0,1,0,0,5,2,3,12354.29,12,3,0,2,0,1,0,1,5,3
