cd_a,ent,con,upm,v_sel,n_hog,h_mud,per,d_sem,n_pro_viv,n_ren,nom,sex,eda,r_pre,fecha_e,hora_ini_e,hora_ter_e,r_def,fecha_s,hora_ini_s,hora_ter_s,obs_caratu,p1,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_99,p12_des,p13,p14,p14_des,p15,p16,p16_des,p17,p18,p19_1,p19_1_des,p19_2,p19_2_des,p19_9,p20,p21,p22,p23_des,obs,fac,clase2,loc,mun,est,est_d,ageb,t_loc,n_ent,c_res,par_c,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,clase1,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins,cuenta,sex_fem,jefe_hog
1,9,1206,13383,5,1,0,212,110,93,5,-,2,27,0,50612,1110,1128,0,50612,1110,1128,,1,60,1,,,,,,,8,,,PONIENDO UN NEGOCIO PROPIO VENDER ALGO,2,,,,1,,2,1,1,AFORE 21,,,,2,1,3,SE SUPONE QUE ES LO QUE GUARDAS PARA CUANDO TE RETIRAS DEL TRABAJO,,17643,4,1,2,23,4,0,1,4,1,617,4,8,1984,9,1,3,3,,,,2,3,1,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,2,3,8,3,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1207,28434,1,1,0,212,110,16,2,-,2,46,0,60612,1110,1125,0,60612,1110,1125,,1,65,1,,,,,,,,,,,1,2,,1,,,2,1,1,SURA,,,,1,1,1,FONDO DE AHORRO PARA EL RETIRO,,20641,1,1,3,42,10,0,1,4,1,301,1,5,1966,9,1,8,2,5610,,1,2,1,5,,,,,,,1,1,1870,1,1,1,1,4,1,7,6,6,3,4,3,8,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,2,3,18,45,0,0,0,0,0,1,0,0,12,1,2,2,0,3,2,2,0,1,0
1,9,1208,15730,2,1,0,212,110,45,4,-,2,29,0,90612,1440,1458,0,90612,1440,1458,,3,99,1,,,,,,,8,,,PONER UN NEGOCIO,2,,,,1,,2,2,,,,,,,,,DONDE PODEMOS TENER UNA INVERSION PARA GANAR,,21317,1,1,5,33,8,0,1,4,1,301,20,6,1982,9,1,7,4,3923,3,1,2,0,6,,,,,,,1,1,1870,1,1,1,2,4,1,4,6,6,4,2,3,11,4,2,7,2,4,1,2,0,0,0,1,5,1,1,2,0,0,0,0,4,2,2,3,8,1,3,16,45,6000,31.00775,1,0,0,4,0,0,20,1,1,2,0,3,1,5,0,1,0
1,9,1209,20012,5,1,0,212,110,175,1,-,1,44,0,80612,2100,2130,0,80612,2100,2130,,1,88,,,,,5,,,,,,,2,,,,1,,1,1,1,BANORTE,,,,2,1,1,ASOCIACION PARA AHORRO DE LA VEJES Y EL RETIRO,,16595,1,1,6,23,4,0,1,4,1,101,21,8,1967,9,1,4,1,,,,2,,5,,,,,,,1,1,1870,1,1,1,1,2,7,4,6,5,3,4,2,3,4,2,4,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,3,2,4,6,11,0,3,10,40,7760,45.11628,0,0,0,1,0,0,5,1,2,2,0,3,2,2,0,0,1
1,9,1210,32714,5,1,0,212,110,131,2,-,2,52,16,100612,915,915,0,160612,2210,2235,ESCUELA CENTRO DE FORMACION PARA EL TRABAJO CON NIVEL ESCOLAR DE PREPARATORIA,1,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,ES EL FONDO PARA EL RETIRO,ESCUELA CENTRO DE FORMACION PARA EL TRABAJO CON NIVEL ESCOLAR DE PREPARATORIA,19486,1,1,7,23,4,0,1,4,1,201,5,3,1960,9,1,4,3,,,,2,4,5,,,,,,,1,1,1870,1,1,1,2,4,2,7,5,5,1,4,3,9,4,2,4,2,3,0,2,0,0,0,0,0,1,2,2,0,0,0,0,4,3,5,8,13,3,3,12,36,0,0,0,0,0,4,0,0,15,1,1,2,0,3,1,6,0,1,0
1,9,1211,25647,3,1,0,212,110,110,3,-,2,32,16,100612,1310,1310,0,230612,1200,1225,,2,99,1,,,,,,,,,,,2,,,,6,,2,1,1,BANCOMER,,,,2,2,1,AHORRO PARA LA VEJEZ,,29696,1,1,7,32,7,0,1,4,1,603,7,4,1980,9,1,6,3,2032,2,1,2,0,6,,,,,,,1,1,1870,1,1,1,1,2,5,7,6,6,3,4,2,3,4,2,6,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,3,2,3,4,9,1,3,12,48,0,0,0,0,0,1,0,0,5,1,2,2,0,3,2,2,0,1,0
1,9,1211,25647,5,1,0,212,110,166,2,-,2,45,0,50612,1112,1128,0,50612,1112,1128,,97,99,,2,,,,,,,,,,1,7,,2,,,1,2,,,,,,,,,UNA CUENTA DE AHORRO PARA LA VEJEZ,,25222,4,1,7,32,7,0,1,4,1,201,21,8,1966,9,1,6,3,551,1,2,2,3,5,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,3,4,7,12,3,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1212,23229,2,1,0,212,110,74,6,-,2,24,0,50612,1220,1235,0,50612,1220,1235,,3,99,,2,,,,,,,,,,1,7,,1,,,2,1,1,PRINCIPAL,,,,1,1,1,PRESTAMO HIPOTECARIO PARA CONSTRUIR O ADQUIRIR UNA VIVIENDA,,22360,4,1,10,24,5,0,1,4,1,301,19,4,1988,9,1,2,6,,,,2,1,6,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,1,2,2,7,2,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,1213,36939,2,1,0,212,110,67,1,-,1,37,0,70612,910,925,0,70612,910,925,,3,88,,2,,,,,,,,,,1,1,,1,,,2,2,,,,,,,,,AHORRO PARA EL RETIRO,,22907,1,1,13,32,7,0,1,4,1,101,4,11,1974,14,1,3,3,,,,2,,5,,,,,,,1,1,1870,1,1,1,2,4,1,5,2,3,1,3,3,10,2,2,4,1,2,0,2,0,0,0,1,3,2,2,5,0,0,0,0,3,2,3,5,10,0,3,9,5,15780,733.95349,1,1,0,4,0,0,17,1,1,2,0,3,3,4,0,0,1
1,9,1214,23480,5,1,0,212,110,223,2,-,2,42,0,40612,1838,1906,0,40612,1838,1906,PG. 19 DIJO QUE TIENE AFORE POR UN TRABAJO DE HACE AÑOS PERO NO SABE CUAL PG 9 POR UN MEJOR TRABAJO BAJO EL TRABAJO,3,99,1,2,,,,,,,,,,1,7,,2,,,2,1,,,,,9,2,2,1,EMPRESA PARA EL AHORRO DE LA JUBILACION,PG. 19 DIJO QUE TIENE AFORE POR UN TRABAJO DE HACE AÑOS PERO NO SABE CUAL PG 9 POR UN MEJOR TRABAJO BAJO EL TRABAJO,21906,1,1,14,33,8,0,1,4,1,201,9,10,1969,9,1,7,4,3731,3,1,2,1,5,,,,,,,1,1,1870,1,1,1,1,4,4,3,5,6,3,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,2,3,16,37,5000,31.426781,0,0,0,2,0,0,20,1,2,2,0,3,2,5,0,1,0
