caseid,art,female,married,kid5,phd,mentor,arttrunc,kid5_0,kid5_1,kid5_2plus,kid5cat,male,phdadeq,phdcat,phdelite,phdgood,phdstrong,profage
221,0,Male,Married,0,2.51,3,,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,25.405903
612,2,Male,Married,0,2.96,2,2,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,26.553669
779,3,Male,Married,2,1.38,8,3,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,26.398375
518,1,Male,Married,2,3.1900001,5,1,No,No,Yes,2-3-kids,Male,No,Strong,No,No,Yes,33.581985
906,7,Male,Single,0,3.6900001,19,7,Yes,No,No,0-kids,Male,No,Strong,No,No,Yes,33.363968
498,1,Male,Married,1,1.8099999,5,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,26.806032
348,1,Male,Married,1,4.6199999,16,1,No,Yes,No,1-kid,Male,No,Elite,Yes,No,No,30.275862
575,2,Male,Married,0,1.72,1,2,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,33.537334
403,1,Male,Single,0,4.29,11,1,Yes,No,No,0-kids,Male,No,Elite,Yes,No,No,27.491388
635,2,Male,Married,3,2,8,2,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,30.583759
507,1,Male,Married,1,1.6799999,12,1,No,Yes,No,1-kid,Male,Yes,Adequate,No,No,No,30.904398
896,7,Male,Single,0,2.54,6,7,Yes,No,No,0-kids,Male,No,Good,No,Yes,No,31.010897
602,2,Male,Married,3,4.3400002,7,2,No,No,Yes,2-3-kids,Male,No,Elite,Yes,No,No,33.801586
717,3,Male,Married,2,1.8,6,3,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,32.224091
759,3,Male,Married,0,1.78,0,3,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,33.003258
598,2,Male,Married,1,3.1900001,10,2,No,Yes,No,1-kid,Male,No,Strong,No,No,Yes,30.515869
597,2,Male,Married,2,1.97,0,2,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,27.301905
558,2,Male,Married,2,1.8,6,2,No,No,Yes,2-3-kids,Male,Yes,Adequate,No,No,No,32.211349
533,2,Male,Married,2,2.96,8,2,No,No,Yes,2-3-kids,Male,No,Good,No,Yes,No,30.100626
458,1,Male,Married,0,1.52,2,1,Yes,No,No,0-kids,Male,Yes,Adequate,No,No,No,27.025
