escuela_id,estudiante_id,examen,tiempo
6053,1,50,1
6053,2,43,1
6053,4,50,3
6053,11,49,1
6053,12,62,1
6053,13,43,1
6053,18,42,1
6053,22,68,4
6053,23,41,1
6053,24,62,5
6053,25,69,1
6053,26,60,0
6053,27,71,4
6053,28,56,1
6053,32,47,1
6053,33,58,1
6053,34,66,1
6053,36,41,2
6053,39,60,2
6053,42,69,2
6053,43,44,1
6053,44,61,1
6053,45,65,2
6053,53,67,6
6053,55,57,1
6053,56,64,5
6053,57,67,4
6053,60,65,1
6053,63,70,1
6053,64,59,4
6053,67,54,1
6053,68,53,1
6053,69,58,3
6053,71,59,7
6053,76,60,4
6053,77,48,1
6053,82,59,4
6053,84,50,4
6053,86,43,1
6053,87,48,2
6053,88,65,5
6053,93,41,2
6053,97,50,2
6053,98,64,2
6327,4,61,1
6327,9,56,1
6327,13,46,1
6327,15,60,0
6327,70,65,0
6327,81,39,3
6327,90,67,0
6327,99,65,0
6467,3,61,3
6467,43,42,0
6467,56,67,3
6467,58,67,4
6467,88,46,1
7194,6,42,2
7194,7,56,1
7194,9,40,2
7194,13,40,3
7194,15,41,1
7194,17,39,2
7194,25,48,2
7194,28,42,1
7194,29,50,1
7194,32,59,1
7194,36,62,0
7194,37,42,0
7194,39,53,1
7194,40,53,2
7194,54,44,4
7194,55,43,0
7194,68,62,1
7194,72,64,1
7194,75,45,2
7194,81,37,3
7194,83,50,1
7194,84,58,2
7194,93,56,2
7194,94,37,1
7472,3,48,1
7472,8,48,0
7472,13,53,0
7472,17,42,1
7472,27,43,2
7472,28,57,1
7472,30,33,5
7472,36,64,1
7472,37,36,1
7472,42,56,2
7472,52,48,1
7472,53,48,1
7472,61,44,1
7472,64,35,2
7472,72,50,1
7472,83,36,4
7472,84,47,1
7472,85,41,2
7472,88,42,1
7472,93,49,1
7472,94,39,1
7472,96,45,1
7472,99,48,1
7474,3,42,6
7474,6,48,1
7474,32,57,2
7474,36,60,1
7474,38,67,1
7474,41,48,2
7474,45,51,2
7474,46,46,1
7474,51,44,2
7474,52,62,1
7474,58,63,1
7474,59,47,2
7474,63,56,2
7474,64,58,2
7474,68,54,1
7474,87,54,2
7474,88,60,1
7801,5,46,1
7801,8,47,1
7801,10,38,5
7801,12,40,1
7801,15,39,2
7801,21,54,2
7801,24,56,1
7801,25,58,1
7801,29,62,2
7801,34,44,1
7801,42,44,1
7801,46,47,1
7801,62,54,2
7801,63,43,1
7801,64,67,1
7801,68,62,1
7801,72,62,1
7801,80,50,3
7801,85,45,1
7801,87,50,2
7801,91,34,2
7801,99,60,0
7829,0,58,2
7829,15,43,2
7829,17,49,1
7829,20,42,1
7829,24,35,5
7829,25,38,2
7829,29,35,1
7829,31,42,4
7829,34,41,4
7829,38,31,3
7829,44,41,2
7829,54,32,1
7829,62,65,0
7829,65,50,1
7829,66,37,3
7829,68,44,3
7829,81,44,3
7829,91,41,2
7829,93,39,3
7829,98,36,4
7930,3,65,4
7930,8,62,3
7930,11,44,1
7930,16,63,4
7930,21,43,2
7930,24,68,4
7930,26,50,1
7930,34,57,2
7930,43,53,1
7930,52,48,1
7930,53,53,2
7930,57,47,1
7930,59,36,0
7930,61,52,1
7930,63,70,3
7930,64,51,2
7930,65,67,2
7930,68,44,1
7930,71,70,3
7930,73,33,1
7930,81,70,2
7930,83,54,1
7930,90,37,1
7930,97,41,1
24371,6,38,2
24371,13,62,2
24371,19,49,3
24371,22,43,1
24371,24,36,1
24371,26,36,1
24371,42,63,6
24371,47,42,2
24371,50,33,2
24371,53,54,1
24371,56,65,4
